"delito","no_denuncia","total_delitos","cn_per"
"Amenazas",2366142,2672001,88.6
"Extorsión",4563191,4660898,97.9
"Fraude",5158215,5332430,96.7
"Hostigamiento o intimidación sexual",1491094,1541122,96.8
"Lesiones",784021,928471,84.4
"Otros delitos",149077,170013,87.7
"Robo en casa habitación",1538542,1698038,90.6
"Robo en forma distinta a la anterior",1285982,1397146,92
"Robo o asalto en calle o transporte público",5882479,6230798,94.4
"Robo parcial de vehículo",2318952,2455282,94.4
"Robo total de vehículo",179405,473640,37.9
"Violación",61811,79364,77.9
